Movie,Rating,Seen,Year
The Super Mario Galaxy Movie,985,False,2026
Project Hail Mary,1000,False,2026
Michael,1000,False,2026
The Devil Wears Prada 2,1000,False,2026
Hoppers,1000,False,2026
Scream 7,1000,False,2026
GOAT,1000,False,2026
The Mandalorian and Grogu,1000,False,2026
Wuthering Heights,1000,False,2026
Mortal Kombat II,1000,False,2026
Send Help,986,True,2026
Obsession,1000,False,2026
Reminders of Him,1000,False,2026
The Drama,1000,False,2026
The Sheep Detectives,1000,False,2026
Crime 101,1026,True,2026
Lee Cronin's The Mummy,1000,False,2026
Dhurandhar: The Revenge,1000,False,2026
Iron Lung,1000,False,2026
Solo Mio,1000,False,2026
Primate,1000,False,2026
28 Years Later: The Bone Temple,1000,False,2026
Mercy,1000,False,2026
Ready or Not 2: Here I Come,1000,False,2026
Undertone,1000,False,2026
"You, Me & Tuscany",1000,False,2026
I Can Only Imagine 2,1000,False,2026
Greenland 2: Migration,1000,False,2026
Hokum,1000,False,2026
Melania,1000,False,2026
EPiC: Elvis Presley in Concert,1000,False,2026
Hamnet,1000,False,2026
Dracula,1000,False,2026
Shelter,1000,False,2026
The Bride!,1000,False,2026
They Will Kill You,1000,False,2026
Passenger,1000,False,2026
Billie Eilish: Hit Me Hard and Soft,1000,False,2026
No Other Choice,1000,False,2026
The Strangers: Chapter 3,1000,False,2026
"Good Luck, Have Fun, Don't Die",1000,False,2026
A Great Awakening,1000,False,2026
A Minecraft Movie,1000,False,2025
Lilo & Stitch,1000,False,2025
Superman,1016,False,2025
Jurassic World: Rebirth,942,True,2025
Zootopia 2,1000,False,2025
Wicked: For Good,957,True,2025
Sinners,1084,True,2025
The Fantastic Four: First Steps,1019,True,2025
How to Train Your Dragon,1022,True,2025
Avatar: Fire and Ash,1000,False,2025
Captain America: Brave New World,953,True,2025
Mission: Impossible - The Final Reckoning,1028,True,2025
Thunderbolts*,1061,True,2025
F1: The Movie,1048,True,2025
The Conjuring: Last Rites,1000,False,2025
Weapons,954,True,2025
Final Destination: Bloodlines,1000,False,2025
Demon Slayer: Kimetsu No Yaiba Infinity Castle,1000,False,2025
Five Nights at Freddy's 2,1000,False,2025
Dog Man,1000,False,2025
Freakier Friday,1000,False,2025
Predator: Badlands,1000,False,2025
Snow White,1000,False,2025
The Bad Guys 2,1000,False,2025
Black Phone 2,1000,False,2025
Tron: Ares,1000,False,2025
Elio,1000,False,2025
One Battle After Another,1070,True,2025
28 Years Later,985,True,2025
The Accountant 2,1000,False,2025
Now You See Me: Now You Don't,1000,False,2025
The King of Kings,1000,False,2025
David,1000,False,2025
Ballerina,1000,False,2025
The Housemaid,1000,False,2025
The Naked Gun,1000,False,2025
Karate Kid: Legends,1000,False,2025
One of Them Days,1000,False,2025
Regretting You,1000,False,2025
The SpongeBob Movie: Search for SquarePants,1000,False,2025
Mickey 17,988,True,2025
Paddington in Peru,1000,False,2025
Downton Abbey: The Grand Finale,1000,False,2025
Chainsaw Man - The Movie: Reze Arc,1000,False,2025
Marty Supreme,1000,False,2025
The Amateur,1000,False,2025
The Monkey,1000,False,2025
The Running Man,999,True,2025
A Working Man,1000,False,2025
Materialists,1000,False,2025
Den of Thieves: Pantera,1000,False,2025
The Long Walk,1000,False,2025
Star Wars: Episode III - Revenge of the Sith,1038,True,2025
Taylor Swift: The Official Release Party of a Showgirl,1000,False,2025
I Know What You Did Last Summer,1000,False,2025
Gabby's Dollhouse: The Movie,1000,False,2025
Anaconda,1033,True,2025
Smurfs,1000,False,2025
Heart Eyes,1000,False,2025
Flight Risk,1000,False,2025
Warfare,1000,False,2025
Him,1000,False,2025
M3GAN 2.0,1000,False,2025
Ne Zha 2,1000,False,2025
KPop Demon Hunters,1087,True,2025
Roofman,931,True,2025
Springsteen: Deliver Me from Nowhere,1000,False,2025
The Woman in the Yard,1000,False,2025
Nobody 2,983,True,2025
Black Bag,1000,False,2025
Death of a Unicorn,1000,False,2025
Together,1000,False,2025
Last Breath,1000,False,2025
Companion,1000,False,2025
Wolf Man,1000,False,2025
The Chosen: Last Supper,1000,False,2025
Until Dawn,1000,False,2025
Novocaine,998,True,2025
The Phoenician Scheme,1000,False,2025
Bring Her Back,1000,False,2025
Babygirl,1000,False,2025
Caught Stealing,1000,False,2025
Bugonia,1006,True,2025
Hamilton,1043,True,2025
Song Sung Blue,1000,False,2025
Inside Out 2,1016,False,2025
Deadpool & Wolverine,1054,True,2024
Wicked,984,True,2024
Moana 2,984,False,2024
Despicable Me 4,1000,False,2024
Beetlejuice Beetlejuice,925,True,2024
Dune: Part Two,1050,True,2024
Twisters,1039,True,2024
Godzilla X Kong: The New Empire,955,True,2024
Kung Fu Panda 4,946,True,2024
Bad Boys: Ride or Die,1000,False,2024
Kingdom of the Planet of the Apes,1027,True,2024
Gladiator II,1009,True,2024
Sonic the Hedgehog 3,1002,True,2024
It Ends with Us,1000,False,2024
The Wild Robot,1000,False,2024
Venom: The Last Dance,1000,False,2024
A Quiet Place: Day One,928,True,2024
Mufasa: The Lion King,1000,False,2024
Ghostbusters: Frozen Empire,1000,False,2024
IF,1000,False,2024
Alien: Romulus,1000,False,2024
Bob Marley: One Love,1000,False,2024
Red One,986,False,2024
The Fall Guy,1041,True,2024
The Garfield Movie,1000,False,2024
Longlegs,1000,False,2024
Mean Girls,1052,True,2024
Smile 2,1000,False,2024
Civil War,1036,True,2024
Furiosa: A Mad Max Saga,1072,True,2024
The Beekeeper,1010,True,2024
Transformers One,1016,True,2024
Joker: Folie à Deux,1000,False,2024
Terrifier 3,1000,False,2024
Challengers,1000,False,2024
Nosferatu,908,True,2024
Argylle,913,True,2024
Madame Web,1000,False,2024
Trap,883,True,2024
The Best Christmas Pageant Ever,1000,False,2024
Speak No Evil,1012,True,2024
The Strangers: Chapter 1,1000,False,2024
Coraline,1058,True,2024
Night Swim,1000,False,2024
Conclave,943,True,2024
Reagan,1000,False,2024
The Forge,1000,False,2024
Horizon: An American Saga - Chapter 1,1000,False,2024
A Complete Unknown,1000,False,2024
Imaginary,1000,False,2024
Heretic,1040,True,2024
Abigail,1000,False,2024
Monkey Man,1043,True,2024
Arthur the King,1000,False,2024
We Live in Time,1000,False,2024
Poor Things,1000,False,2024
Blink Twice,1000,False,2024
Kraven the Hunter,987,True,2024
The Bikeriders,1000,False,2024
The Ministry of Ungentlemanly Warfare,1000,False,2024
Fly Me to the Moon,1000,False,2024
Unsung Hero,1000,False,2024
The First Omen,1000,False,2024
Cabrini,1000,False,2024
American Fiction,1000,False,2024
Ordinary Angels,1000,False,2024
The Watchers,1000,False,2024
Tarot,1000,False,2024
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1000,False,2024
Harold and the Purple Crayon,1000,False,2024
The Substance,1000,False,2024
Immaculate,1000,False,2024
Borderlands,1000,False,2024
Interstellar,1081,True,2024
MaXXXine,985,False,2024
The Chosen: S4 Episodes 1-3,1000,False,2024
Anora,1000,False,2024
Homestead,1000,False,2024
Star Wars: Episode I - The Phantom Menace,1031,True,1999
Kalki 2898 AD,1000,False,2024
Am I Racist?,1000,False,2024
Here,1000,False,2024
Bonhoeffer,1000,False,2024
Sound of Hope: The Story of Possum Trot,1000,False,2024
The Chosen: S4 Episodes 4-6,1000,False,2024
Never Let Go,1000,False,2024
Late Night with the Devil,1000,False,2024
Lisa Frankenstein,1000,False,2024
Piece by Piece,1000,False,2024
Saturday Night,1000,False,2024
Barbie,1061,True,2024
The Super Mario Bros. Movie,942,True,2024
Spider-Man: Across the Spider-Verse,1033,True,2024
Guardians of the Galaxy Vol. 3,1078,True,2024
Oppenheimer,1002,True,2023
The Little Mermaid,1018,True,1993
Avatar: The Way of Water,985,True,2023
Ant-Man and the Wasp: Quantumania,1000,True,2023
John Wick: Chapter 4,1000,False,2023
Sound of Freedom,1000,False,2023
Taylor Swift: The Eras Tour,1000,False,2023
Indiana Jones and the Dial of Destiny,1004,True,2023
Mission: Impossible - Dead Reckoning Part One,1027,True,2023
The Hunger Games: The Ballad of Songbirds & Snakes,1025,True,2023
Transformers: Rise of the Beasts,1000,False,2023
Creed III,1019,True,2023
Elemental,1000,False,2023
Fast X,961,True,2023
Five Nights at Freddy's,1000,False,2023
Wonka,1000,False,2023
Puss in Boots: The Last Wish,1031,True,2023
Teenage Mutant Ninja Turtles: Mutant Mayhem,1086,True,2023
Scream VI,882,True,2023
The Flash,923,True,2023
Trolls Band Together,1000,False,2023
M3GAN,1000,False,2023
Dungeons & Dragons: Honor Among Thieves,986,True,2023
The Equalizer 3,1000,False,2023
The Nun II,1000,False,2023
The Marvels,1000,False,2023
Meg 2: The Trench,1000,False,2023
Insidious: The Red Door,1000,False,2023
Aquaman and the Lost Kingdom,1000,False,2023
Blue Beetle,988,True,2023
Haunted Mansion,1000,False,2023
Killers of the Flower Moon,1000,False,2023
Evil Dead Rise,1000,False,2023
The Exorcist: Believer,1000,False,2023
PAW Patrol: The Mighty Movie,1000,False,2023
Cocaine Bear,953,True,2023
A Man Called Otto,1000,False,2023
Wish,1000,False,2023
Napoleon,1000,False,2023
Shazam! Fury of the Gods,1000,False,2023
Migration,1000,False,2023
Saw X,1000,False,2023
Air,1000,False,2023
Jesus Revolution,1000,False,2023
No Hard Feelings,1000,False,2023
Talk to Me,1000,False,2023
Godzilla Minus One,1025,True,2023
Gran Turismo,1000,False,2023
The Color Purple,1000,False,2023
The Boogeyman,1000,False,2023
A Haunting in Venice,1000,False,2023
The Creator,1000,False,2023
80 for Brady,1000,False,2023
The Boy and the Heron,1000,False,2023
Knock at the Cabin,970,True,2023
Renaissance: A Film by Beyoncé,1000,False,2023
Missing,1000,False,2023
Plane,1000,False,2023
Thanksgiving,1000,False,2023
My Big Fat Greek Wedding 3,1000,False,2023
Asteroid City,1000,False,2023
Magic Mike's Last Dance,1000,False,2023
Anyone But You,1000,False,2023
Strays,986,True,2023
The Boys in the Boat,1000,False,2023
Priscilla,1000,False,2023
"Are You There God? It's Me, Margaret.",1000,False,2023
The Pope's Exorcist,1000,False,2023
The Holdovers,984,True,2023
The Blackening,1000,False,2023
Book Club: The Next Chapter,1000,False,2023
Pathaan,1000,False,2023
Black Panther: Wakanda Forever,945,True,2023
Renfield,920,True,2023
The Blind,1000,False,2023
The Covenant,1000,False,2023
The Expendables 4,1000,False,2023
Champions,1000,False,2023
The Iron Claw,1000,False,2023
Ruby Gillman: Teenage Kraken,1000,False,2023
Jawan,1000,False,2023
Titanic,1028,True,1997
Animal,1000,False,2023
Dumb Money,1000,False,2023
The Last Voyage of the Demeter,1000,False,2023
Joy Ride,1000,False,2023
His Only Son,1000,False,2023
The Whale,1000,False,2023
About My Father,1000,False,2023
Bottoms,974,True,2023
The Shift,1000,False,2023
After Death,1000,False,2023
Saltburn,1000,False,2023
Past Lives,1000,False,2023
Suzume,1000,False,2023
